"","x"
"1",0
"2",15
"3",13
"4",13
"5",113
"6",230
"7",331
"8",435
"9",348
"10",506
"11",499
"12",466
"13",447
"14",425
"15",456
"16",577
"17",387
"18",283
"19",375
"20",426
"21",320
"22",389
"23",245
"24",18
"25",28
"26",16
"27",14
"28",13
"29",494
"30",442
"31",418
"32",449
"33",480
"34",333
"35",434
"36",478
"37",407
"38",429
"39",421
"40",307
"41",442
"42",441
"43",516
"44",345
"45",396
"46",355
"47",360
"48",461
"49",236
"50",46
"51",17
"52",389
"53",371
"54",327
"55",91
"56",125
"57",279
"58",326
"59",286
"60",162
"61",131
"62",229
"63",225
"64",156
"65",55
"66",89
"67",317
"68",515
"69",600
"70",423
"71",66
"72",709
"73",424
"74",13
"75",92
"76",115
"77",585
"78",676
"79",483
"80",547
"81",392
"82",611
"83",496
"84",606
"85",490
"86",605
"87",417
"88",502
"89",341
"90",354
"91",604
"92",562
"93",580
"94",490
"95",501
"96",510
"97",459
"98",393
"99",321
"100",279
"101",329
"102",387
"103",543
"104",561
"105",567
"106",381
"107",637
"108",513
"109",584
"110",441
"111",338
"112",470
"113",383
"114",354
"115",506
"116",486
"117",430
"118",492
"119",588
"120",558
"121",519
"122",457
"123",379
"124",170
"125",299
"126",259
"127",111
"128",393
"129",184
"130",97
"131",190
"132",350
"133",265
"134",331
"135",271
"136",309
"137",265
"138",268
"139",273
"140",115
"141",185
"142",238
"143",33
"144",182
"145",149
"146",141
"147",115
"148",19
"149",241
"150",23
"151",50
"152",223
"153",233
"154",286
"155",500
"156",497
"157",380
"158",228
"159",448
"160",523
"161",418
"162",389
"163",338
"164",427
"165",518
