0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
52 52 52 0 0 52 52 52 27 2 0 26 52 52 52 52 4 52 0 1 50 0 26 0 26 0 0 0 0 0 0 0 52 0 50 3 0 52 52 3 52 25 49 0 52 52 26 52 52 0 0 52 0 52 52 4 27 52 49
52 52 52 0 0 52 52 52 27 2 0 26 52 52 52 52 4 52 0 1 50 0 26 0 26 0 0 0 0 0 0 0 52 0 50 3 0 52 52 3 52 25 49 0 52 52 26 52 52 0 0 52 0 52 52 4 27 52 49
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
29 29 29 27 27 29 29 29 0 25 27 3 29 29 29 29 23 29 27 26 27 27 3 27 3 27 27 27 27 27 27 27 29 27 27 26 27 29 29 24 29 4 26 27 29 29 3 29 29 27 27 29 27 29 29 23 0 29 26
50 50 50 2 2 50 50 50 25 0 2 24 50 50 50 50 4 50 2 3 48 2 24 2 24 2 2 2 2 2 2 2 50 2 48 3 2 50 50 3 50 23 47 2 50 50 24 50 50 2 2 50 2 50 50 2 25 50 47
52 52 52 0 0 52 52 52 27 2 0 26 52 52 52 52 4 52 0 1 50 0 26 0 26 0 0 0 0 0 0 0 52 0 50 3 0 52 52 3 52 25 49 0 52 52 26 52 52 0 0 52 0 52 52 4 27 52 49
28 28 28 26 26 28 28 28 3 24 26 0 28 28 28 28 22 28 26 25 26 26 2 26 2 26 26 26 26 26 26 26 28 26 26 25 26 28 28 23 28 3 25 26 28 28 2 28 28 26 26 28 26 28 28 22 3 28 25
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
48 48 48 4 4 48 48 48 23 4 4 22 48 48 48 48 0 48 4 3 46 4 22 4 22 4 4 4 4 4 4 4 48 4 46 5 4 48 48 3 48 23 45 4 48 48 22 48 48 4 4 48 4 48 48 4 23 48 45
0 0 0 52 52 0 0 0 29 50 52 28 0 0 0 0 48 0 52 51 2 52 28 52 28 52 52 52 52 52 52 52 0 52 2 51 52 0 0 49 0 29 3 52 0 0 28 0 0 52 52 0 52 0 0 48 29 0 3
52 52 52 0 0 52 52 52 27 2 0 26 52 52 52 52 4 52 0 1 50 0 26 0 26 0 0 0 0 0 0 0 52 0 50 3 0 52 52 3 52 25 49 0 52 52 26 52 52 0 0 52 0 52 52 4 27 52 49
51 51 51 1 1 51 51 51 26 3 1 25 51 51 51 51 3 51 1 0 49 1 25 1 25 1 1 1 1 1 1 1 51 1 49 2 1 51 51 2 51 24 48 1 51 51 25 51 51 1 1 51 1 51 51 5 26 51 48
2 2 2 50 50 2 2 2 27 48 50 26 2 2 2 2 46 2 50 49 0 50 26 50 26 50 50 50 50 50 50 50 2 50 0 49 50 2 2 47 2 27 3 50 2 2 26 2 2 50 50 2 50 2 2 46 27 2 3
52 52 52 0 0 52 52 52 27 2 0 26 52 52 52 52 4 52 0 1 50 0 26 0 26 0 0 0 0 0 0 0 52 0 50 3 0 52 52 3 52 25 49 0 52 52 26 52 52 0 0 52 0 52 52 4 27 52 49
28 28 28 26 26 28 28 28 3 24 26 2 28 28 28 28 22 28 26 25 26 26 0 26 2 26 26 26 26 26 26 26 28 26 26 25 26 28 28 23 28 3 25 26 28 28 2 28 28 26 26 28 26 28 28 22 3 28 25
