18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	12	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
18	18	19	18	18	19	9	15	12	20	18	15	15	15	18	18	20	2	15	18	18	18	9	15	4	18	13	8	18	15	15	18	18	15	15	18	18	15	15	4	18	15	15	18	18	18	15	18	18	18	2	15	15	18	15	18	15	18	15
